Geneid,ABA_total_RNA_seq_Rep1,ABA_total_RNA_seq_Rep2,CK_total_RNA_seq_Rep1,CK_total_RNA_seq_Rep2,CS_Leaf_total_RNA_seq_Rep1,CS_Leaf_total_RNA_seq_Rep2,CS_Spikelet_Feekes10_total_RNA_seq_Rep1,CS_Spikelet_Feekes10_total_RNA_seq_Rep2,MeJA_total_RNA_seq_Rep1,MeJA_total_RNA_seq_Rep2,SA_total_RNA_seq_Rep1,SA_total_RNA_seq_Rep2
TraesCS1B03G0065600,0,3,3,0,1,0,2,0,1,2,3,0
TraesCS1B03G0068600,0,0,0,0,0,0,85,196,0,0,0,14
TraesCS1B03G0068700,56,20,71,7,35,59,102,201,50,49,66,103
TraesCS1B03G0068800,117,49,128,10,93,120,211,384,84,96,107,254
TraesCS1B03G0070000,0,0,0,0,0,0,4,1,0,0,0,0
TraesCS1B03G0070700,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1B03G0070900,17,63,40,45,72,70,98,106,18,158,29,137
TraesCS1B03G0071200,56,150,86,113,100,48,144,243,31,221,96,356
TraesCS1B03G0071400,0,0,0,0,0,0,1,2,0,0,0,0
TraesCS1B03G0072100,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1B03G0072200,0,0,0,0,0,0,3,0,0,0,0,0
TraesCS1B03G0073500,0,0,2,2,0,3,4,16,3,7,1,5
TraesCS1B03G0087200,0,0,0,0,0,0,8,11,0,0,0,0
TraesCS1B03G0089600,0,2,1,4,3,0,4,3,0,0,5,4
TraesCS1B03G0093100,218,221,387,257,192,217,47,51,221,385,346,669
TraesCS1B03G0093200,48,26,58,52,20,15,350,679,20,43,45,480
TraesCS1B03G0099900,65,64,30,13,31,27,226,378,32,26,58,127
TraesCS1B03G0100000,0,0,0,0,0,0,3,0,0,0,0,0
TraesCS1B03G0100400,42,23,28,17,10,41,79,184,27,26,45,124
TraesCS1B03G0111600,411,818,2191,470,266,349,192,301,1561,1194,1844,1954
TraesCS1B03G0111700,16,13,32,11,8,54,50,51,21,26,20,53
TraesCS1B03G0113400,8,1,17,6,12,2,214,314,6,40,22,93
TraesCS1B03G0192600,179,230,367,83,74,174,181,454,152,220,284,343
TraesCS1B03G0204400,65,63,111,21,41,69,16,37,102,58,111,75
TraesCS1B03G0205300,2,0,18,1,0,0,1,2,8,4,20,2
TraesCS1B03G0291400,90,189,390,49,66,114,72,115,294,136,220,137
TraesCS1B03G0303800,22,75,25,6,15,85,49,117,7,43,20,74
TraesCS1B03G0500400,9,10,15,5,2,23,9,25,10,16,12,31
TraesCS1B03G0542000,56,62,121,30,30,80,55,137,66,65,58,70
TraesCS1B03G0589200,0,0,0,13,100,4,14,11,0,9,0,2
TraesCS1B03G0735200,44,32,219,43,39,64,68,58,137,54,136,157
TraesCS1B03G0735500,5,6,28,1,10,6,35,50,25,17,30,24
TraesCS1B03G0754200,224,280,813,288,152,225,213,284,479,448,710,671
TraesCS1B03G0771800,0,0,0,0,0,0,30,43,0,0,0,0
TraesCS1B03G0772000,0,0,0,0,0,0,12,8,0,0,0,0
TraesCS1B03G0918600,6,6,4,2,0,0,0,0,3,1,6,3
TraesCS1B03G0918900,6,12,11,4,0,9,4,0,14,16,12,19
TraesCS1B03G0922300,370,446,496,385,425,378,42,56,259,704,428,619
TraesCS1B03G0933100,9,17,21,3,0,0,10,19,4,19,9,12
TraesCS1B03G0982400,1,0,3,3,0,6,4,1,1,0,0,4
TraesCS1B03G1000900,160,55,388,14,24,209,29,48,225,62,452,88
TraesCS1B03G1001700,8,49,36,108,12,56,1,2,4,39,36,511
TraesCS1B03G1003600,6,9,25,0,2,17,2,1,17,4,18,9
TraesCS1B03G1003900,23,10,104,5,3,1,3,12,125,26,99,12
TraesCS1B03G1004000,8,9,11,7,2,9,8,20,9,1,12,15
TraesCS1B03G1004100,24,31,62,15,5,40,13,21,17,14,20,34
TraesCS1B03G1028500,11,10,27,1,0,3,9,22,11,8,18,8
TraesCS1B03G1039400,37,24,185,7,4,31,40,102,71,20,143,94
TraesCS1B03G1063500,2,1,1,1,3,0,14,63,0,0,4,6
TraesCS1B03G1064700,6,0,0,0,0,0,20,30,4,47,0,5
TraesCS1B03G1072200,0,0,0,0,0,0,0,3,0,0,0,0
TraesCS1B03G1072300,0,0,0,0,0,0,4,0,0,2,0,2
TraesCS1B03G1075400,7,34,48,6,15,21,16,36,19,28,21,61
TraesCS1B03G1080400,7,14,23,1,7,17,21,34,8,15,13,15
TraesCS1B03G1080700,1,0,4,0,3,11,6,14,0,0,3,3
TraesCS1B03G1083400,20,20,31,5,6,33,32,72,12,10,27,32
TraesCS1B03G1085900,0,0,0,0,0,0,5,0,0,0,0,0
TraesCS1B03G1086600,6,3,8,2,0,0,9,19,3,2,1,2
TraesCS1B03G1086800,1,0,14,10,2,11,3,10,1,6,1,24
TraesCS1B03G1086900,12,8,96,45,8,28,33,40,19,19,48,35
TraesCS1B03G1088200,15,8,35,0,5,22,8,21,18,17,40,15
TraesCS1B03G1088300,8,2,22,0,1,16,7,21,13,8,20,9
TraesCS1B03G1119700,125,234,202,110,178,278,187,346,100,245,250,384
TraesCS1B03G1121800,5,0,8,0,3,2,7,5,4,2,3,4
TraesCS1B03G1126000,0,0,0,0,0,0,47,53,1,2,0,35
TraesCS1B03G1179600,117,164,168,51,67,62,291,376,104,175,183,387
TraesCS1B03G1179900,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS1B03G1180000,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1B03G1180600,0,0,0,0,0,0,1,0,0,0,0,8
TraesCS1B03G1180900,125,143,79,3,8,69,5,1,63,22,88,75
TraesCS1B03G1181300,450,583,1144,215,130,174,237,160,708,627,941,855
TraesCS1B03G1181900,25,36,44,36,26,33,172,346,34,86,46,110
TraesCS1B03G1182200,80,75,93,59,22,21,262,262,69,84,118,369
TraesCS1B03G1182500,0,0,1,0,0,0,0,0,0,0,0,3
TraesCS1B03G1182600,46,7,21,6,18,10,487,1036,16,36,38,268
TraesCS1B03G1187800,3,0,0,0,0,6,6,1,3,0,2,0
TraesCS1B03G1199400,154,214,276,67,86,258,205,844,124,170,184,284
TraesCS1B03G1200000,19,31,7,1,2,0,0,2,18,6,18,74
TraesCS1B03G1200200,58,318,182,57,101,108,52,142,53,338,138,414
TraesCS1B03G1235400,38,43,277,51,15,70,2,13,155,113,160,129
TraesCS1B03G1247400,11,3,29,2,1,17,28,75,25,17,47,50
TraesCS1B03G1247500,1,0,1,0,0,0,5,3,2,0,2,4
TraesCS1B03G1247900,1,0,1,0,1,0,0,2,2,0,5,0
TraesCS1B03G1248100,4,5,13,22,14,97,2,2,1,6,18,26
TraesCS1B03G1252300,520,553,784,145,223,338,599,1208,475,620,743,1010
TraesCS1B03G1252700,1,0,0,0,0,1,1,1,2,0,0,3
TraesCS1B03G1252800,0,0,0,0,0,0,9,3,0,0,0,5
TraesCS1B03G1253100,0,0,0,0,0,0,0,0,0,0,1,1
TraesCS1B03G1253800,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS1B03G1253900,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1B03G1254400,0,0,0,0,0,0,2,1,1,0,0,0
TraesCS1B03G1257000,35,20,76,9,11,96,84,188,35,24,64,96
TraesCS1B03G1257300,0,0,0,0,0,0,3,0,0,0,1,3
TraesCS1B03G1257400,46,22,48,18,23,49,228,466,19,32,41,159
TraesCS1D03G0002900,306,453,1203,365,163,334,2,2,653,363,856,739
TraesCS1D03G0003600,0,0,0,0,2,0,3,0,0,0,0,3
TraesCS1D03G0003900,4,4,8,0,0,0,4,13,7,8,5,9
TraesCS1D03G0004700,0,0,0,0,0,0,80,147,1,0,1,43
TraesCS1D03G0012500,13,27,39,5,7,69,57,102,26,22,27,49
TraesCS1D03G0012800,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS1D03G0013000,0,0,0,0,0,0,0,1,0,0,0,0
TraesCS1D03G0013800,0,0,0,0,0,0,2,1,0,0,0,0
TraesCS1D03G0016200,4,33,19,6,6,9,668,1293,8,28,13,327
TraesCS1D03G0016700,0,0,3,0,0,0,1,1,0,0,0,0
TraesCS1D03G0016800,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1D03G0019700,21,20,246,67,31,60,25,47,119,107,208,264
TraesCS1D03G0020000,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS1D03G0020900,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1D03G0023700,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS1D03G0029700,67,61,146,21,18,47,194,293,80,57,97,135
TraesCS1D03G0029900,2,0,6,1,0,0,3,6,0,0,1,0
TraesCS1D03G0031100,1,0,0,0,0,0,3,0,1,0,0,0
TraesCS1D03G0031300,0,0,0,0,0,0,1,3,0,0,0,0
TraesCS1D03G0032000,0,0,1,0,0,0,3,1,0,0,1,0
TraesCS1D03G0032300,212,231,598,120,17,61,2,2,308,96,472,248
TraesCS1D03G0033200,0,0,0,0,0,0,3,1,0,0,0,0
TraesCS1D03G0033800,0,0,0,0,0,0,6,0,0,0,0,0
TraesCS1D03G0035100,0,0,0,0,0,0,2,0,0,0,0,0
TraesCS1D03G0035300,78,103,209,42,19,54,3,5,133,137,178,70
TraesCS1D03G0036500,13,28,49,47,6,46,3,1,39,73,68,375
TraesCS1D03G0036700,0,0,0,0,0,0,0,0,1,0,0,0
TraesCS1D03G0038300,143,154,414,307,143,101,27,154,155,279,291,365
TraesCS1D03G0038400,96,113,217,155,114,173,59,183,79,210,126,336
TraesCS1D03G0039500,0,0,0,0,0,0,1,2,0,0,0,0
TraesCS1D03G0040200,1,0,1,0,0,0,7,15,1,2,2,21
TraesCS1D03G0040400,0,0,0,0,0,0,7,1,0,0,0,0
TraesCS1D03G0041300,0,0,0,0,0,0,11,1,0,0,0,0
TraesCS1D03G0042800,6,0,4,1,5,0,7,23,1,35,4,42
TraesCS1D03G0047200,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1D03G0053300,2,4,7,2,4,2,10,20,1,9,5,13
TraesCS1D03G0054000,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1D03G0054500,52,62,64,17,3,45,48,86,38,78,51,113
TraesCS1D03G0054600,264,374,512,218,208,376,154,285,298,419,445,572
TraesCS1D03G0054800,116,242,216,68,61,220,388,957,110,210,245,351
TraesCS1D03G0054900,136,275,183,160,223,121,441,586,80,377,141,609
TraesCS1D03G0056300,86,247,45,50,64,106,2884,3657,38,90,41,673
TraesCS1D03G0056800,0,0,0,0,0,0,10,8,0,0,0,3
TraesCS1D03G0061000,23,46,44,31,20,42,182,401,17,70,32,157
TraesCS1D03G0073300,106,169,49,19,36,176,425,685,56,58,113,337
TraesCS1D03G0073400,45,135,45,48,88,83,44,69,39,144,51,172
TraesCS1D03G0081000,1,3,4,0,0,0,6,5,5,3,4,2
TraesCS1D03G0081100,11,2,13,0,1,9,8,16,6,18,10,4
TraesCS1D03G0081200,34,62,60,35,47,71,65,125,34,42,41,89
TraesCS1D03G0081700,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1D03G0082500,0,0,0,1,0,0,6,1,0,0,0,0
TraesCS1D03G0085200,20,29,35,4,23,29,122,326,14,26,30,184
TraesCS1D03G0093900,0,0,0,0,0,0,0,1,0,0,0,0
TraesCS1D03G0111500,0,0,3,3,1,0,40,30,1,7,0,55
TraesCS1D03G0112000,0,3,0,0,0,0,1,11,0,1,0,10
TraesCS1D03G0128700,310,287,381,133,119,344,183,342,218,206,401,558
TraesCS1D03G0142000,123,128,206,84,101,74,69,79,116,129,230,210
TraesCS1D03G0211600,108,105,548,66,32,120,118,104,429,114,335,212
TraesCS1D03G0218100,69,62,128,27,47,125,133,196,42,120,84,173
TraesCS1D03G0232600,165,111,70,9,28,71,1044,2095,71,91,139,551
TraesCS1D03G0448900,164,115,486,88,61,185,143,375,185,198,360,250
TraesCS1D03G0449300,21,12,88,14,20,43,61,101,35,28,87,58
TraesCS1D03G0588900,3,0,6,3,1,12,6,4,3,2,1,1
TraesCS1D03G0607300,77,92,330,16,8,30,30,52,203,60,245,59
TraesCS1D03G0607400,21,18,86,16,8,8,36,53,84,56,80,69
TraesCS1D03G0625500,117,115,390,116,55,87,80,130,220,178,320,361
TraesCS1D03G0642800,0,0,0,0,0,0,41,46,0,0,0,16
TraesCS1D03G0734900,0,0,0,0,0,4,2,1,0,0,0,0
TraesCS1D03G0735100,78,91,314,37,81,104,86,103,182,216,253,243
TraesCS1D03G0770800,106,158,107,212,213,235,13,5,34,296,101,245
TraesCS1D03G0807200,0,0,2,0,0,0,15,8,0,0,1,8
TraesCS1D03G0819700,4,2,12,2,1,3,109,265,4,4,7,23
TraesCS1D03G0821200,0,1,0,0,8,0,3,0,0,5,1,1
TraesCS1D03G0830300,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1D03G0837400,20,17,78,8,2,19,0,0,86,5,100,8
TraesCS1D03G0837500,47,128,178,21,14,38,0,1,58,54,168,49
TraesCS1D03G0837700,11,0,75,1,0,2,1,1,104,2,81,3
TraesCS1D03G0838200,6,10,8,3,1,10,10,11,10,6,15,16
TraesCS1D03G0844600,4,8,15,8,0,7,0,0,9,3,6,11
TraesCS1D03G0863800,0,1,10,0,0,0,4,12,1,2,2,33
TraesCS1D03G0883500,52,97,57,42,57,47,50,86,45,133,51,157
TraesCS1D03G0884400,19,19,22,4,12,33,41,59,20,18,21,45
TraesCS1D03G0886500,452,526,799,130,168,392,217,362,431,432,687,523
TraesCS1D03G0886700,351,554,319,365,451,394,153,206,214,1190,282,537
TraesCS1D03G0890400,0,0,0,0,0,0,4,9,0,3,1,13
TraesCS1D03G0895400,3,0,12,1,0,0,16,14,4,1,7,8
TraesCS1D03G0895500,0,0,0,1,1,0,0,3,1,0,0,1
TraesCS1D03G0898400,6,2,40,5,7,11,236,728,8,14,56,142
TraesCS1D03G0903000,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS1D03G0903100,0,0,0,0,0,0,2,2,0,0,0,0
TraesCS1D03G0921100,1,6,5,6,8,0,14,10,5,9,2,23
TraesCS1D03G0925800,84,222,329,115,87,261,296,337,166,199,210,468
TraesCS1D03G0926400,5,1,13,9,2,4,4,5,10,10,15,66
TraesCS1D03G0955500,0,0,0,0,0,0,2,0,0,0,0,0
TraesCS1D03G0962300,371,417,734,324,268,140,73,83,380,674,642,788
TraesCS1D03G0969200,125,123,255,55,116,330,512,715,158,188,194,390
TraesCS1D03G0979000,56,299,124,20,40,90,49,95,43,133,91,196
TraesCS1D03G0998700,76,68,173,18,37,111,287,555,95,115,160,254
TraesCS1D03G0999400,430,320,781,270,264,313,77,103,380,516,593,662
TraesCS1D03G1018800,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS1D03G1018900,0,0,0,0,0,0,1,1,0,0,1,0
